Name,Address,Cities,Telephone Numbers,Working hours,Category,lat,lon
Paruni,s.Kopance,Tetovo,+389 78 251777,No working hours available,wineries,42.04846934,21.13752872
Agronikolov,4-ti Juli 1,Veles,+389 70 377359,No working hours available,wineries;wine bars;wine producers,41.58151023,21.93607427
Anevski vinerija,Zheleznichka 39,Stip,+389 32 392925,Mon - Fri from 07:00 to 15:00,wineries;wine producers;wine merchants - wholesale,41.75485239,22.17222308
Antigona Park,ul.516 br.6,Skopje,+389 77 945252,Mon - Sun from 00:00 to 00:00,hotels;wineries,41.99416255,21.45404791
Bord life winery,s.Kuchkovo,Skopje,+389 70 331114,No working hours available,wineries;wine producers;wine bars,42.0587673,21.31778492
Bovin,Industriska b.b.,Negotino,+389 43 365322,Mon - Fri from 08:00 to 16:00,wine producers;wineries,41.49671295,22.1026165
Bujuk,s.Dabnishte,Kavadarci,+389 75 840937,No working hours available,wine bars;wineries,41.37793759,22.01443269
Chateau Kamnik,Kamnik b.b.,Skopje,+389 2 2523523,No working hours available,wine merchants - wholesale;wineries;wine producers,42.00761607,21.48974597
Dalvina,Franklin Ruzvelt 22,Skopje,+389 2 3245345,Mon - Fri from 08:00 to 16:00,wine bars;wine producers;wine merchants - wholesale;wineries,41.999644,21.413279
Dalvina,s.Hamzali,Strumica,+389 34 375000,Mon - Sat from 08:00 to 16:00,wine bars;wineries,41.49049176,22.74497046
Dalvina,s.Hamzali Bosilevo 9,Strumica,+389 34 375578,No working hours available,wineries;wine producers,41.49014663,22.74483268
Divino Winery,bul.Makedonska Kosovska brigada 30-b,Skopje,+389 71 304335,No working hours available,wine producers;alcoholic drinks - manufacturers;wineries,42.01037322,21.43333784
Dudin,Aco Adzhi Ilov b.b.,Negotino,+389 43 368506,Mon - Fri from 07:00 to 15:00,wine producers;wineries,41.48314758,22.09001358
Eros Trade,s.Marena,Kavadarci,+389 71 375795,No working hours available,wine producers;wineries,41.46316557,22.02528282
Ezimit,Bregalnichka 64,Stip,+389 32 387809,Mon - Fri from 07:30 to 15:30,wine producers;wine merchants - wholesale;wineries,41.77556675,22.18108697
Ezimit,Marshal Tito s.Lozovo 5,Stip,+389 78 222424,Mon - Fri from 07:30 to 15:30,wineries;wine merchants - wholesale,41.78133931,21.89906343
Filovski vinary - Direkcija,11-ti Oktomvri 23-a-1/1,Skopje,+389 2 3133394,Mon - Fri from 08:00 to 16:00,wine producers;wineries,41.991297,21.435291
Goce Delcev-Tikves,s.Vozarci,Kavadarci,+389 43 415916,Mon - Sat from 06:30 to 14:30,wineries,41.43502753,22.01926394
Imako Vino,6-ti Kilometar b.b.,Stip,+389 32 308703,Mon - Fri from 07:00 to 15:00,wineries;wine producers;wine merchants - wholesale;wine bars,41.70129358,22.15776931
Imako Vino,Zheleznichka b.b.,Bitola,+389 72 271873,No working hours available,wineries,41.01960092,21.34205176
Imako Vino,Pero Nakov b.b.,Skopje,+389 2 2549051,Mon - Fri from 07:30 to 15:30,wineries;wine producers;wine merchants - wholesale;wine bars,41.99165587,21.49249256
Izvorno,Nikola Orovchanec 1,Veles,+389 77 901169,No working hours available,wine bars;wineries,41.71642155,21.78370587
Kartal,ul.1519 7,Skopje,+389 70 242419,Mon - Fri from 09:00 to 17:00,"wine producers;wine merchants - wholesale;wine bars, wineries",41.96235581,21.47642889
Kitvin Distillery,Veljko Vlahovikj 2-2/6,Kavadarci,+389 70 218024,No working hours available,wineries;rakija manufacturers,41.44237544,22.00890747
Kokino vino,Kozjachka s.Dobroshane 15,Kumanovo,+389 70 236562,Mon - Fri from 08:00 to 14:00,wine producers;wineries;hotels,42.11047208,21.75025841
Kralska Vinarija-Kralica Marija,Marshal Tito 63,Demir Kapija,+389 43 446500,Mon - Sun from 00:00 to 00:00,wine bars;wineries;restaurants a - z;apartments & rooms - hire (rental);wine producers,41.41398214,22.23357265
Kuvin,Makedonska Prerodba 70,Skopje,+389 75 233340,Mon - Sun from 08:00 to 00:00,wine bars;wineries,42.00928569,21.34862571
Lazar,Avtopat Veles-Gevgelija,Veles,+389 71 281566,Mon - Sun from 00:00 to 00:00,wine bars;wineries;restaurants a - z;apartments & rooms - hire (rental),41.54655234,21.97249196
Lazar Vinarija,Arheoloshki Lokalitet Stobi Gradsko,Veles,+389 70 315800,Mon - Sun from 00:00 to 00:00,wineries;wine producers;wine merchants - wholesale;apartments & rooms - hire (rental);restaurants a - z,41.54656031,21.97250267
MM Investment-Lozar,Akademik Pencho Davchev (Skopski Pat) 130,Veles,+389 43 212620,Mon - Fri from 07:00 to 15:00,wineries,41.73736253,21.77684481
Paragon urban winery,Boris Trajkovski (Prvomajska) 62,Skopje,+389 70 399703,No working hours available,wine producers;wine bars;wineries,41.9752806,21.45293952
Peca Komerc,Zapaden bulevar 13,Kavadarci,+389 43 410287,Mon - Fri from 08:00 to 16:00,international transport & forwarding;agricultural products - retail;wine producers;wineries,41.44327962,22.00525208
Peskov,s.Resava,Kavadarci,+389 70 204799,No working hours available,wineries,41.38813847,21.97766166
Pirgan,Orde Chopela 173,Prilep,+389 70 208552,Mon - Fri from 08:00 to 16:00;Sat from 08:00 to 15:00,wineries;alcoholic drinks - manufacturers;wine producers,41.36493907,21.51652141
Pivka,Industriska b.b.,Negotino,+389 43 371416,Mon - Fri from 07:00 to 15:00,wine merchants - wholesale;wineries,41.49184647,22.09323221
Popova kula -Vinery (Vinarija Popova Kula),Bulevar na vinoto 1,Demir Kapija,+389 43 367400,Mon - Sun from 00:00 to 00:00,wineries;wine producers;restaurants a - z;hotels;wine merchants - wholesale;restaurants - wedding receptions & ceremonies (ballrooms & banquet facilities),41.410885,22.226565
Popova kula -Vinery (Vinarija Popova Kula),Dame Gruev 5-7/1,Skopje,+389 2 3216719,Mon - Fri from 08:00 to 16:00,wineries;wine merchants - wholesale;wine producers,41.992688,21.428809
Rigo impeks,Goce Delchev s.Mrzenci b.b.,Gevgelija,+389 34 214094,Mon - Sun from 00:00 to 00:00,wineries;wine producers,41.15167251,22.50611426
Rigo-impeks,Naum Naumovski Borche 40,Skopje,+389 2 3290244,Mon - Fri from 08:00 to 16:00,wine producers;wineries;wine merchants - wholesale;200 most successful,41.99869827,21.42433247
Semejna vinarija Zaharcev,Kosovska 16,Kavadarci,+389 70 743742,No working hours available,wineries;wine bars,41.43584244,22.00485466
Skovin Head office (Skovin Direkcija),15-ti Korpus 3,Skopje,+389 2 3145725,Mon - Fri from 08:00 to 16:00,wine merchants - wholesale;wineries;wine producers,42.0003875,21.4781599
Stobi Winery,Avtopat s.Gradsko 2,Veles,+389 43 215800,Mon - Fri from 08:00 to 16:00,wine producers;wineries;restaurants a - z,41.58116205,21.93623517
Strumicko pole,s.Vasilevo,Strumica,+389 34 354776,Mon - Fri from 07:00 to 15:00,wineries;wine producers;fruit - processing;manufacturers & wholesalers,41.49260133,22.63203337
Tristo Winery (Tristo Vinari),s.Sujaklari,Veles,+389 78 389958,Mon - Fri from 08:00 to 15:00,wine producers;wineries;wine bars,41.78904239,21.79355188
VVM GD Tikves,Shishka 2,Kavadarci,+389 43 412852,No working hours available,wineries,41.43465659,22.01931973
Venec,s.Dolni Disan,Negotino,+389 43 369200,Mon - Fri from 07:00 to 15:00,wine producers;milk & dairy products;feedmills;flour products - manufacturers;wineries,41.4283832,22.09562383
Vinarija Iliev,s.Sopot,Kavadarci,+389 71 219233,No working hours available,wineries,41.48972774,22.02496885
Vinarija Popov,Goce Delchev s.Rosoman 13-a,Kavadarci,+389 43 551001,Mon - Fri from 07:00 to 16:00,wineries;wine producers,41.46997642,22.02717419
Vizba Valandovo,Nikola Karev 6,Valandovo,+389 34 383880,Mon - Fri from 08:00 to 16:00,wineries;200 most successful;exporters,41.31986812,22.5656477
Winery Ohrid,Zheleznichka b.b.,Ohrid,+389 46 279225,Mon - Fri from 07:00 to 15:00,wineries,41.12809029,20.79250737
Winery Tikvesh,29-ti Noemvri 5,Kavadarci,+389 43 447500,Mon - Fri from 08:00 to 16:00,wineries;iso standardized companies;wine producers;wine merchants - wholesale;alcoholic drinks - manufacturers;exporters;200 most successful,41.43653165,22.0025806
Winery Tikvesh (Vinarija Tikves),ul.812 2,Skopje,+389 2 3114383,No working hours available,wine producers;national companies - branch offices;wine merchants - wholesale;wineries,42.00151511,21.4681837
Zik Gradiste,s.Gradishte,Kumanovo,+389 71 209603,No working hours available,wineries;grain growers;grain & crop brokers,42.00384842,21.92826742
